Filters
Region filter: All
Infection syndrome filter: Bloodstream
Bacterial pathogen filter: Klebsiella pneumoniae
Antibiotic filter: Ceftazidime

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"BLOOD","Klebsiella pneumoniae","Ceftazidime",3.04448882050611,31.7784090260903,54.1176470588235,77.7834008097166,94.7368421052632
2018,"BLOOD","Klebsiella pneumoniae","Ceftazidime",3.25452483937345,31.3006124714956,55.106100795756,70.6829923971941,96.5116279069768
2019,"BLOOD","Klebsiella pneumoniae","Ceftazidime",3.77639946612232,33.0266306442068,55.1663747810858,77.0061962596966,95.0391644908616
2020,"BLOOD","Klebsiella pneumoniae","Ceftazidime",4.33111989853018,34.0905832139349,61.4035087719298,77.3970839444076,99.1525423728814


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"MLT","Malta","European Region",2019,"BLOOD","Klebsiella pneumoniae","Ceftazidime",624,137,51,37.2262773722628
"MLT","Malta","European Region",2020,"BLOOD","Klebsiella pneumoniae","Ceftazidime",530,132,51,38.6363636363636
"MYS","Malaysia","Western Pacific Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftazidime",25686,5748,1910,33.2289491997216
"MYS","Malaysia","Western Pacific Region",2018,"BLOOD","Klebsiella pneumoniae","Ceftazidime",26268,5525,1826,33.0497737556561
"MYS","Malaysia","Western Pacific Region",2019,"BLOOD","Klebsiella pneumoniae","Ceftazidime",25194,5088,1585,31.1517295597484
"MYS","Malaysia","Western Pacific Region",2020,"BLOOD","Klebsiella pneumoniae","Ceftazidime",20249,4481,1410,31.4661905824593
"OMN","Oman","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftazidime",1043,255,138,54.1176470588235
"OMN","Oman","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Ceftazidime",631,142,85,59.8591549295775
"OMN","Oman","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Ceftazidime",1007,366,197,53.8251366120219
"OMN","Oman","Eastern Mediterranean Region",2020,"BLOOD","Klebsiella pneumoniae","Ceftazidime",876,176,150,85.2272727272727
"PHL","Philippines","Western Pacific Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftazidime",5103,1120,553,49.375
"PHL","Philippines","Western Pacific Region",2018,"BLOOD","Klebsiella pneumoniae","Ceftazidime",5595,1227,623,50.7742461287693
"PHL","Philippines","Western Pacific Region",2019,"BLOOD","Klebsiella pneumoniae","Ceftazidime",6468,1528,781,51.1125654450262
"PHL","Philippines","Western Pacific Region",2020,"BLOOD","Klebsiella pneumoniae","Ceftazidime",4276,1128,538,47.6950354609929
"RUS","Russian Federation","European Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftazidime",321,125,102,81.6
"RUS","Russian Federation","European Region",2018,"BLOOD","Klebsiella pneumoniae","Ceftazidime",427,163,127,77.9141104294479
"RUS","Russian Federation","European Region",2019,"BLOOD","Klebsiella pneumoniae","Ceftazidime",1173,322,253,78.5714285714286
"RUS","Russian Federation","European Region",2020,"BLOOD","Klebsiella pneumoniae","Ceftazidime",1305,466,416,89.2703862660944
"SAU","Saudi Arabia","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftazidime",1491,489,252,51.5337423312883
"SAU","Saudi Arabia","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Ceftazidime",2420,817,559,68.4210526315789
"SAU","Saudi Arabia","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Ceftazidime",2528,843,603,71.5302491103203
"SAU","Saudi Arabia","Eastern Mediterranean Region",2020,"BLOOD","Klebsiella pneumoniae","Ceftazidime",2458,778,599,76.9922879177378
"THA","Thailand","South-East Asia Region",2017,"BLOOD","Klebsiella pneumoniae","Ceftazidime",1349,202,93,46.039603960396
"THA","Thailand","South-East Asia Region",2018,"BLOOD","Klebsiella pneumoniae","Ceftazidime",2629,379,112,29.5514511873351
