Filters
Region filter: All
Infection syndrome filter: Bloodstream
Bacterial pathogen filter: Klebsiella pneumoniae
Antibiotic filter: Imipenem

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
2017,"BLOOD","Klebsiella pneumoniae","Imipenem",0,6.55737704918033,13.4715025906736,21.8623481781377,69.4915254237288
2018,"BLOOD","Klebsiella pneumoniae","Imipenem",0.125995590154345,8.41423948220065,14.1843971631206,27.027027027027,90
2019,"BLOOD","Klebsiella pneumoniae","Imipenem",0,5.45454545454545,16.2756598240469,38.8688327316486,87.8787878787879
2020,"BLOOD","Klebsiella pneumoniae","Imipenem",0.0767831885229339,6.06060606060606,20.7413945278023,53.6985205917633,71.8446601941748


Data for line plots for individual CTAs
"Iso3","CountryTerritoryArea","WHORegionName","Year","Specimen","PathogenName","AbTargets","TotalSpecimenIsolates","InterpretableAST","Resistant","PercentResistant"
"MKD","North Macedonia","European Region",2020,"BLOOD","Klebsiella pneumoniae","Imipenem",293,118,2,1.69491525423729
"MLT","Malta","European Region",2017,"BLOOD","Klebsiella pneumoniae","Imipenem",574,122,8,6.55737704918033
"MLT","Malta","European Region",2018,"BLOOD","Klebsiella pneumoniae","Imipenem",1116,141,20,14.1843971631206
"MLT","Malta","European Region",2019,"BLOOD","Klebsiella pneumoniae","Imipenem",624,137,9,6.56934306569343
"MLT","Malta","European Region",2020,"BLOOD","Klebsiella pneumoniae","Imipenem",530,132,8,6.06060606060606
"MYS","Malaysia","Western Pacific Region",2017,"BLOOD","Klebsiella pneumoniae","Imipenem",25686,5472,212,3.87426900584795
"MYS","Malaysia","Western Pacific Region",2018,"BLOOD","Klebsiella pneumoniae","Imipenem",26268,5372,201,3.74162323157111
"MYS","Malaysia","Western Pacific Region",2019,"BLOOD","Klebsiella pneumoniae","Imipenem",25194,5132,202,3.9360872954014
"MYS","Malaysia","Western Pacific Region",2020,"BLOOD","Klebsiella pneumoniae","Imipenem",20249,4435,198,4.46448703494927
"OMN","Oman","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Imipenem",1043,213,34,15.962441314554
"OMN","Oman","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Imipenem",631,115,31,26.9565217391304
"OMN","Oman","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Imipenem",1007,281,79,28.1138790035587
"OMN","Oman","Eastern Mediterranean Region",2020,"BLOOD","Klebsiella pneumoniae","Imipenem",876,64,38,59.375
"PAK","Pakistan","Eastern Mediterranean Region",2017,"BLOOD","Klebsiella pneumoniae","Imipenem",2323,181,70,38.6740331491713
"PAK","Pakistan","Eastern Mediterranean Region",2018,"BLOOD","Klebsiella pneumoniae","Imipenem",7410,455,254,55.8241758241758
"PAK","Pakistan","Eastern Mediterranean Region",2019,"BLOOD","Klebsiella pneumoniae","Imipenem",8980,347,206,59.3659942363112
"PAK","Pakistan","Eastern Mediterranean Region",2020,"BLOOD","Klebsiella pneumoniae","Imipenem",5623,247,118,47.7732793522267
"PHL","Philippines","Western Pacific Region",2017,"BLOOD","Klebsiella pneumoniae","Imipenem",5103,1044,175,16.7624521072797
"PHL","Philippines","Western Pacific Region",2018,"BLOOD","Klebsiella pneumoniae","Imipenem",5595,1035,149,14.3961352657005
"PHL","Philippines","Western Pacific Region",2019,"BLOOD","Klebsiella pneumoniae","Imipenem",6468,1364,222,16.2756598240469
"PHL","Philippines","Western Pacific Region",2020,"BLOOD","Klebsiella pneumoniae","Imipenem",4276,1133,235,20.7413945278023
"RUS","Russian Federation","European Region",2017,"BLOOD","Klebsiella pneumoniae","Imipenem",321,125,14,11.2
"RUS","Russian Federation","European Region",2018,"BLOOD","Klebsiella pneumoniae","Imipenem",427,163,38,23.3128834355828
